,_ws.col.AbsTime,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,Unnamed: 9,Unnamed: 10
810523,19:44.3,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,,,
810550,19:46.7,b8:55:10:25:bb:10,6c:fd:b9:4f:70:0b,192.168.1.2,224.0.0.1,,,,,,
810551,19:46.7,b8:55:10:25:bb:10,6c:fd:b9:4f:70:0b,192.168.1.2,224.0.0.1,,,,,,
810555,19:46.7,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,192.168.0.50,224.0.0.251,,,,,,
810558,19:46.7,84:34:97:a4:9a:91,6c:fd:b9:4f:70:0b,192.168.1.160,224.0.1.60,,,,,,
810572,19:46.8,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,192.168.0.50,224.0.0.252,,,,,,
810581,19:46.8,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,192.168.0.50,224.0.0.252,,,,,,
810582,19:46.8,78:54:2e:56:20:fa,6c:fd:b9:4f:70:0b,192.168.0.50,224.0.0.252,,,,,,
810607,19:47.2,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810609,19:47.2,b8:55:10:25:bb:10,fc:6b:f0:0a:c3:43,192.168.1.2,224.0.0.1,,,,,,
810611,19:47.2,78:54:2e:56:20:fa,fc:6b:f0:0a:c3:43,192.168.0.50,224.0.0.251,,,,,,
810612,19:47.2,78:54:2e:56:20:fa,fc:6b:f0:0a:c3:43,192.168.0.50,224.0.0.252,,,,,,
810615,19:47.2,84:34:97:a4:9a:91,fc:6b:f0:0a:c3:43,192.168.1.160,224.0.1.60,,,,,,
810623,19:47.2,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810637,19:48.3,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
810681,19:51.0,00:0d:54:a4:81:85,6c:fd:b9:4f:70:0b,192.168.1.200,224.0.1.134,,,,,,
810694,19:51.3,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810696,19:51.3,00:0d:54:a4:81:85,fc:6b:f0:0a:c3:43,192.168.1.200,224.0.1.134,,,,,,
810698,19:51.3,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
810833,19:57.8,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,,,
810908,19:59.5,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810911,19:59.6,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810913,19:59.7,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810915,19:59.8,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810917,19:59.9,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810926,20:00.0,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810938,20:00.1,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810958,20:00.2,98:fc:11:a1:f7:0f,01:00:5e:7f:ff:fa,192.168.1.150,239.255.255.250,,,1024.0,1900.0,,
810990,20:01.7,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
810992,20:01.7,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
810998,20:01.9,00:17:88:77:35:80,f4:0f:24:37:5b:39,192.168.1.119,224.0.0.22,,,,,,
811002,20:02.0,00:17:88:77:35:80,08:c5:e1:d1:47:a5,192.168.1.119,224.0.0.22,,,,,,
811021,20:02.6,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,,,
811023,20:02.6,00:17:88:77:35:80,fc:6b:f0:0a:c3:43,192.168.1.119,224.0.0.22,,,,,,
811026,20:02.6,00:17:88:77:35:80,6c:fd:b9:4f:70:0b,192.168.1.119,224.0.0.22,,,,,,
811028,20:02.6,00:17:88:77:35:80,fc:6b:f0:0a:c3:43,192.168.1.119,224.0.0.22,,,,,,
